time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c
2025-09-22T21:18:33.576061,-8.27,-0.64,-5.63,0.05,0.03,-0.0,29.67
2025-09-22T21:18:33.678697,-8.26,-0.64,-5.66,0.05,0.03,-0.0,29.69
2025-09-22T21:18:33.769747,-8.26,-0.65,-5.64,0.05,0.03,-0.0,29.67
2025-09-22T21:18:33.884967,-8.26,-0.63,-5.65,0.04,0.03,0.0,29.68
2025-09-22T21:18:33.955957,-8.28,-0.64,-5.68,0.04,0.03,0.0,29.68
2025-09-22T21:18:34.059639,-8.29,-0.66,-5.62,0.05,0.03,-0.0,29.66
2025-09-22T21:18:34.162025,-8.27,-0.64,-5.65,0.05,0.03,-0.0,29.68
2025-09-22T21:18:34.266175,-8.26,-0.65,-5.65,0.05,0.03,-0.0,29.69
2025-09-22T21:18:34.369548,-8.27,-0.65,-5.64,0.04,0.03,0.0,29.67
2025-09-22T21:18:34.476205,-8.28,-0.64,-5.65,0.04,0.03,-0.0,29.67
2025-09-22T21:18:34.574888,-8.26,-0.65,-5.64,0.05,0.03,-0.0,29.71
2025-09-22T21:18:34.677895,-8.29,-0.65,-5.62,0.05,0.03,-0.0,29.67
2025-09-22T21:18:34.781059,-8.26,-0.64,-5.66,0.05,0.03,-0.0,29.67
2025-09-22T21:18:34.885726,-8.28,-0.63,-5.66,0.05,0.03,0.0,29.68
2025-09-22T21:18:35.018186,-8.28,-0.66,-5.63,0.04,0.03,0.0,29.68
2025-09-22T21:18:35.120734,-8.28,-0.64,-5.67,0.05,0.03,0.0,29.69
2025-09-22T21:18:35.222670,-8.26,-0.63,-5.63,0.05,0.03,-0.0,29.68
2025-09-22T21:18:35.326799,-8.28,-0.64,-5.68,0.05,0.03,-0.0,29.68
2025-09-22T21:18:35.428893,-8.3,-0.66,-5.64,0.05,0.03,0.0,29.68
2025-09-22T21:18:35.509065,-8.26,-0.66,-5.64,0.04,0.03,0.0,29.69
2025-09-22T21:18:35.635502,-8.27,-0.66,-5.63,0.05,0.03,0.0,29.69
2025-09-22T21:18:35.719643,-8.27,-0.64,-5.64,0.05,0.03,0.0,29.68
2025-09-22T21:18:35.840761,-8.26,-0.65,-5.65,0.05,0.03,0.0,29.67
2025-09-22T21:18:35.945228,-8.27,-0.64,-5.65,0.05,0.03,0.0,29.67
2025-09-22T21:18:36.047368,-8.28,-0.65,-5.62,0.04,0.03,-0.0,29.69
2025-09-22T21:18:36.150414,-8.27,-0.64,-5.63,0.04,0.03,-0.0,29.67
2025-09-22T21:18:36.257431,-8.28,-0.64,-5.64,0.05,0.03,-0.0,29.67
2025-09-22T21:18:36.360571,-8.28,-0.64,-5.64,0.05,0.03,0.0,29.68
2025-09-22T21:18:36.461842,-8.29,-0.65,-5.66,0.05,0.03,0.0,29.68
2025-09-22T21:18:36.565134,-8.26,-0.64,-5.63,0.04,0.03,0.0,29.68
2025-09-22T21:18:36.669357,-8.27,-0.64,-5.61,0.04,0.03,0.0,29.67
2025-09-22T21:18:36.769076,-8.27,-0.66,-5.64,0.05,0.03,0.0,29.69
2025-09-22T21:18:36.871741,-8.28,-0.63,-5.61,0.05,0.03,-0.0,29.66
2025-09-22T21:18:36.947631,-8.29,-0.64,-5.64,0.05,0.03,-0.0,29.67
2025-09-22T21:18:37.048174,-8.27,-0.65,-5.65,0.05,0.03,-0.0,29.68
2025-09-22T21:18:37.151194,-8.26,-0.65,-5.63,0.04,0.03,0.0,29.67
2025-09-22T21:18:37.255516,-8.26,-0.64,-5.62,0.04,0.03,0.0,29.67
2025-09-22T21:18:37.358712,-8.27,-0.66,-5.66,0.05,0.03,-0.0,29.68
2025-09-22T21:18:37.462059,-8.27,-0.64,-5.63,0.05,0.03,0.0,29.66
2025-09-22T21:18:37.567434,-8.29,-0.65,-5.65,0.05,0.03,-0.0,29.67
2025-09-22T21:18:37.673484,-8.28,-0.63,-5.66,0.05,0.03,0.0,29.65
2025-09-22T21:18:37.772786,-8.28,-0.62,-5.65,0.04,0.03,0.0,29.67
2025-09-22T21:18:37.876319,-8.27,-0.64,-5.65,0.05,0.03,-0.0,29.66
2025-09-22T21:18:37.986633,-8.26,-0.64,-5.65,0.05,0.03,-0.0,29.67
2025-09-22T21:18:38.079265,-8.26,-0.66,-5.66,0.05,0.03,-0.0,29.68
2025-09-22T21:18:38.182939,-8.27,-0.61,-5.63,0.05,0.03,0.0,29.68
2025-09-22T21:18:38.289322,-8.27,-0.66,-5.65,0.04,0.03,0.0,29.68
2025-09-22T21:18:38.390310,-8.27,-0.67,-5.65,0.05,0.03,-0.0,29.67
2025-09-22T21:18:38.491212,-8.28,-0.64,-5.64,0.05,0.03,0.0,29.67
2025-09-22T21:18:38.594183,-8.27,-0.63,-5.66,0.05,0.03,-0.0,29.67
2025-09-22T21:18:38.695533,-8.28,-0.65,-5.65,0.05,0.03,-0.0,29.66
